A0A0G2JTA1 Q9QZC5
D4A6Q6 A0A0G2JY06
Q9WTQ1 Q9WTQ1
M0RBF8 P07340
P26453 F1M9V7
A0A0G2K9M4 D3ZRJ0
F1M155 Q62976
E2CWF0 E2CWF0
M0RDF1 F1LPP2
Q1RP75 D3ZWL9
Q2PQA9 A0A0H2UHA6
Q71RJ2 O88801
M0R476 M0R476
M0R8P3 M0R8P3
D3ZWG3 D3ZW24
B5DF09 D4A240
D4A3J9 Q3T1I9
Q64270 Q6IRG9
A0A0G2JZU6 G3V8G3
Q812D3 Q812D3
Q5U3Y0 Q5U3Y0
G3V7D9 M0RC42
Q8CJH2 Q8CJH2
A0A0H2UHA6 F1LXF5
F1LZM0 D4ADH7
D3ZE91 Q6IFW6
P50503 G3V9I9
B2RZ60 D4A4X5
D3ZY64 D3ZY64
Q9ES73 Q5U2T7
D3ZVH2 D3ZVH2
Q6AYJ5 Q9JJ46
F1LQN6 Q6P6R0
A0A0G2K7F0 A0A0G2K5R4
A0A0G2K2L0 A0A0G2K2L0
D3ZER8 D3ZER8
F1M957 Q32WR5
A0A0G2K463 Q6MG27
D3ZH66 D3ZH66
D3Z8X4 D3Z8X4
M0RCH9 Q68A65
F1LSS1 A0A0G2JVH4
D3ZU52 Q66HE8
D3ZW24 P16443
D3ZAG0 D3ZAG0
F1LPY6 D3ZS85
B0BN55 F1LMQ1
A0A0G2JYN5 D3ZNH2
D4AEG6 D4AEG6
Q5U2S1 Q5U2S1
D3ZS85 D3ZS85
Q3B7L1 F1MAF8
B2GUZ4 B2GUZ4
B5DFN1 B5DFN1
D3ZA82 D3ZA82
M0R592 D4ACU0
Q91VC0 Q91VC0
B2RYJ3 B2RYJ3
Q6P6R0 Q63511
D4ACC5 D4ACC5
E9PT83 E9PT83
Q64057 D3ZPD0
G3V963 Q5XI72
Q00728 F6PUS4
G3V7P7 D3ZUW6
B5DFM8 F1M842
A0A096MJZ2 Q5U2X6
P26794 A0A0G2KA91
D3ZD97 F1LRL9
A0A0G2JTY4 D3ZBP3
Q5RKH0 Q5RKH0
D4A7E9 F1LWN5
D4A4K3 Q497B7
D3ZQI0 A0A0G2JUS6
A0A0G2JXY1 G3V7S2
A0A0G2K016 A0A0G2JSW0
F1LRJ6 F1LRJ6
Q4V898 Q9Z0V5
D3ZU21 P63074
Q6P798 A0A0G2JU41
Q5RK03 M0R589
Q5U2N1 Q6AY58
G3V678 Q5XI98
B1WCA0 G3V6Q9
F1MAM6 A0A0G2K9E1
F1M9Q3 Q6P7P5
B5DF93 G3V926
F1LYI0 Q400C9
D4A0M3 F7FLS6
D3ZU21 A0A0G2JX16
Q642B0 Q66H06
B0K014 P14173
Q68FS1 A0A0G2JUP9
A0A0G2QC22 P20793
A0A0G2K509 D4A9Y0
D3ZEH2 D3ZBP3
Q80Z34 Q80Z34
G3V6Q6 H9KVF3
